{'accuracy': 0.812, 'conicity_mean': '0.19365352', 'conicity_std': '0.025931774', 'entropy_mean': '0.015507212', 'entropy_std': '0.0073172105'}
{'accuracy': 0.806, 'conicity_mean': '0.19428772', 'conicity_std': '0.02629031', 'entropy_mean': '0.015651016', 'entropy_std': '0.00720382'}
{'accuracy': 0.8133333333333334, 'conicity_mean': '0.19498572', 'conicity_std': '0.025666146', 'entropy_mean': '0.015359391', 'entropy_std': '0.0074751084'}
{'accuracy': 0.812, 'conicity_mean': '0.19308841', 'conicity_std': '0.026153952', 'entropy_mean': '0.015128762', 'entropy_std': '0.007452938'}
{'accuracy': 0.8033333333333333, 'conicity_mean': '0.19374329', 'conicity_std': '0.025757395', 'entropy_mean': '0.015157664', 'entropy_std': '0.00749296'}
{'accuracy': 0.8173333333333334, 'conicity_mean': '0.194434', 'conicity_std': '0.02604345', 'entropy_mean': '0.015544556', 'entropy_std': '0.00721093'}
{'accuracy': 0.812, 'conicity_mean': '0.19408056', 'conicity_std': '0.025771292', 'entropy_mean': '0.015178215', 'entropy_std': '0.0074159387'}
{'accuracy': 0.8046666666666666, 'conicity_mean': '0.19296637', 'conicity_std': '0.02636131', 'entropy_mean': '0.015790401', 'entropy_std': '0.0071820854'}
{'accuracy': 0.8126666666666666, 'conicity_mean': '0.19369128', 'conicity_std': '0.025941815', 'entropy_mean': '0.01586042', 'entropy_std': '0.0072497074'}
{'accuracy': 0.8146666666666667, 'conicity_mean': '0.19355969', 'conicity_std': '0.0257901', 'entropy_mean': '0.015126142', 'entropy_std': '0.00740446'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19437583', 'conicity_std': '0.025866397', 'entropy_mean': '0.014456174', 'entropy_std': '0.0073194862'}
{'accuracy': 0.8126666666666666, 'conicity_mean': '0.19400956', 'conicity_std': '0.025758032', 'entropy_mean': '0.014554364', 'entropy_std': '0.0072527844'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19396102', 'conicity_std': '0.025829626', 'entropy_mean': '0.014572884', 'entropy_std': '0.0070819715'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.19277282', 'conicity_std': '0.025544537', 'entropy_mean': '0.01425041', 'entropy_std': '0.0071870796'}
{'accuracy': 0.8066666666666666, 'conicity_mean': '0.19225226', 'conicity_std': '0.025811736', 'entropy_mean': '0.015158765', 'entropy_std': '0.0071946383'}
{'accuracy': 0.816, 'conicity_mean': '0.19145772', 'conicity_std': '0.026126748', 'entropy_mean': '0.015680172', 'entropy_std': '0.007855842'}
{'accuracy': 0.7986666666666666, 'conicity_mean': '0.19308336', 'conicity_std': '0.025812846', 'entropy_mean': '0.015880663', 'entropy_std': '0.0076114456'}
{'accuracy': 0.814, 'conicity_mean': '0.19267786', 'conicity_std': '0.025976043', 'entropy_mean': '0.015590542', 'entropy_std': '0.0077473954'}
{'accuracy': 0.8246666666666667, 'conicity_mean': '0.19281308', 'conicity_std': '0.025851842', 'entropy_mean': '0.014649018', 'entropy_std': '0.0074375677'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.1924611', 'conicity_std': '0.02603787', 'entropy_mean': '0.014477758', 'entropy_std': '0.007233687'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.19249804', 'conicity_std': '0.025879141', 'entropy_mean': '0.014140241', 'entropy_std': '0.007229448'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.19288926', 'conicity_std': '0.025902746', 'entropy_mean': '0.013893061', 'entropy_std': '0.007181725'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19300847', 'conicity_std': '0.02582654', 'entropy_mean': '0.013739575', 'entropy_std': '0.007156337'}
{'accuracy': 0.8213333333333334, 'conicity_mean': '0.1931982', 'conicity_std': '0.025870452', 'entropy_mean': '0.013513739', 'entropy_std': '0.0071100635'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.1930625', 'conicity_std': '0.025753438', 'entropy_mean': '0.013467267', 'entropy_std': '0.0071334094'}
{'accuracy': 0.8213333333333334, 'conicity_mean': '0.19329663', 'conicity_std': '0.025830995', 'entropy_mean': '0.0131714605', 'entropy_std': '0.007071986'}
{'accuracy': 0.8213333333333334, 'conicity_mean': '0.1930577', 'conicity_std': '0.025749598', 'entropy_mean': '0.013175412', 'entropy_std': '0.0071023772'}
